audiofile,audiofile2,audiofile3,country,documentationscore,eastlimit,grammar15,iso6393,latitude,lexicon15,linktext2,linkurl2,longitude,name,northlimit,numberofspeakers,numSpeakers,region,southlimit,texts15,title,westlimit,linktext4,linkurl4,linktext,linktext3,linkurl,linkurl3
,,,Vanuatu,0,166.852,0,nsw,-15.400728,0,See OLAC information about Navut,http://www.language-archives.org/language/nsw,166.898804,Navut,-15.265,520,0.05,pacific,-15.367,0,Navut,166.745,See the wikipedia entry for Navut,http://en.wikipedia.org/wiki/Navut_language,,,,
,,,Vanuatu,6,167.629,4,onu,-16.252583,,See OLAC information about Unua,http://www.language-archives.org/language/onu,167.606049,Unua,-16.221,520,0.05,pacific,-16.303,2,Unua,167.57,See the wikipedia entry for Unua,http://en.wikipedia.org/wiki/Unua_language,,,,
,,,Vanuatu,0,168.584,0,etn,-17.743455,0,See OLAC information about Eton,http://www.language-archives.org/language/etn,168.560486,Eton,-17.714,500,0.04,pacific,-17.765,0,Eton,168.541,See the wikipedia entry for Eton,http://en.wikipedia.org/wiki/Eton_language_(Vanuatu),,,,
,,,Vanuatu,10,166.705,2,lht,-13.420345,2,See OLAC information about Lo-Toga,http://www.language-archives.org/language/lht,166.70105,Lo-Toga,-13.225,500,0.04,pacific,-13.451,3,Lo-Toga,166.58,See the wikipedia entry for Lo-Toga,http://en.wikipedia.org/wiki/Lo-Toga_language,,,,
TC3-002-A,,,Vanuatu,0,167.245,0,mll,-16.024696,0,See OLAC information about Malua Bay,http://www.language-archives.org/language/mll,167.202301,Malua Bay,-15.913,500,0.04,pacific,-16.028,0,Malua Bay,167.171,See the wikipedia entry for Malua Bay,http://en.wikipedia.org/wiki/Malua_Bay_language,,,,
TC10-004-A,TC9-006-01,,Vanuatu,1,167.474,1,vnm,-16.231816,0,See OLAC information about Neve'ei,http://www.language-archives.org/language/vnm,167.408295,Neve'ei,-16.176,500,0.04,pacific,-16.277,0,Neve'ei,167.38,See the wikipedia entry for http://en.wikipedia.org/wiki/Neve'ei,http://en.wikipedia.org/wiki/Neve'ei,,,,
,,,Vanuatu,3,167.29,3,tmi,-15.518528,0,See OLAC information about Tutuba,http://www.language-archives.org/language/tmi,167.248993,Tutuba,-15.463,500,0.04,pacific,-15.59,0,Tutuba,167.188,See the wikipedia entry for Tutuba,http://en.wikipedia.org/wiki/Tutuba_language,,,,
,,,Vanuatu,0,167.035,0,frt,-15.489415,0,See OLAC information about Fortsenal,http://www.language-archives.org/language/frt,166.968842,Fortsenal,-15.369,450,0.04,pacific,-15.513,0,Fortsenal,166.828,See the wikipedia entry for Fortsenal,http://en.wikipedia.org/wiki/Fortsenal_language,,,,
,,,Vanuatu,0,167.209,0,ssv,-15.418601,0,See OLAC information about Shark Bay,http://www.language-archives.org/language/ssv,167.182388,Shark Bay,-15.168,450,0.04,pacific,-15.474,0,Shark Bay,167.063,See the wikipedia entry for Shark Bay,http://en.wikipedia.org/wiki/Shark_Bay_language,,,,
,,,Vanuatu,0,167.265,0,mvt,-15.899263,0,See OLAC information about Mpotovoro,http://www.language-archives.org/language/mvt,167.2435,Mpotovoro,-15.881,430,0.04,pacific,-15.919,0,Mpotovoro,167.2,See the wikipedia entry for Mpotovoro,http://en.wikipedia.org/wiki/Mpotovoro_language,,,,
,,,Vanuatu,2,168.431,1,mmw,-17.064662,1,See OLAC information about Emae,http://www.language-archives.org/language/mmw,168.399811,Emae,-17.036,400,0.03,pacific,-17.084,0,Emae,168.367,See the wikipedia entry for Emae,http://en.wikipedia.org/wiki/Emae_language,,,,
,,,Vanuatu,0,166.975,0,lmb,-15.309353,0,See OLAC information about Lametin,http://www.language-archives.org/language/lmb,166.966095,Lametin,-15.239,400,0.03,pacific,-15.333,0,Lametin,166.836,,,,,,
NT6-200511-A,NT1-98020-98020A,,Vanuatu,14,168.226,5,lpa,-17.595594,3,See OLAC information about Lelepa,http://www.language-archives.org/language/lpa,168.208923,Lelepa,-17.579,400,0.03,pacific,-17.616,2,Lelepa,168.195,See the wikipedia entry for Lelepa,http://en.wikipedia.org/wiki/Lelepa_language,,,,
,,,Vanuatu,0,166.975,0,mnl,-15.262989,0,See OLAC information about Tiale,http://www.language-archives.org/language/mnl,166.904297,Tiale,-15.174,400,0.03,pacific,-15.278,0,Tiale,166.77,See the wikipedia entry for Tiale,http://en.wikipedia.org/wiki/Tiale_language,,,,
