CLICS Form,Variety,ISO CODE,Family,Form in source,Gloss in source,Dataset,latitude,longitude
murak,baimak,bmx,Nuclear Trans New Guinea,murak,yam,Madang Comparative Wordlists,-5.18943,145.606
o,baimak,bmx,Nuclear Trans New Guinea,ɔ,yam,Madang Comparative Wordlists,-5.18943,145.606
al,bargam,mlp,Nuclear Trans New Guinea,al,yam,Madang Comparative Wordlists,-4.8723,145.756
zabel,bargam,mlp,Nuclear Trans New Guinea,zabel,yam,Madang Comparative Wordlists,-4.8723,145.756
marak,bau,bbd,Nuclear Trans New Guinea,marak,yam,Madang Comparative Wordlists,-5.26465,145.611
o,bau,bbd,Nuclear Trans New Guinea,ʔo:,yam,Madang Comparative Wordlists,-5.26465,145.611
meeb,bepour,bie,Nuclear Trans New Guinea,meʔeb,yam,Madang Comparative Wordlists,-4.5985,145.442
oro,bepour,bie,Nuclear Trans New Guinea,ɔrɔʔ,yam,Madang Comparative Wordlists,-4.5985,145.442
m,bilakura,bql,Nuclear Trans New Guinea,mʌː,yam,Madang Comparative Wordlists,-4.93116,145.559
sabulam,bilakura,bql,Nuclear Trans New Guinea,sabulam,yam,Madang Comparative Wordlists,-4.93116,145.559
manggri,biyom,bpm,Nuclear Trans New Guinea,maŋgrʌi,yam,Madang Comparative Wordlists,-5.79929,145.348
yanu,biyom,bpm,Nuclear Trans New Guinea,yanu,yam,Madang Comparative Wordlists,-5.79929,145.348
alam,bongu,bpu,Nuclear Trans New Guinea,alam,yam,Madang Comparative Wordlists,-5.50519,145.806
sambi,bongu,bpu,Nuclear Trans New Guinea,sambi,yam,Madang Comparative Wordlists,-5.50519,145.806
oran,brem,buq,Nuclear Trans New Guinea,oran,yam,Madang Comparative Wordlists,-4.67372,145.562
singgua,brem,buq,Nuclear Trans New Guinea,siŋgua,yam,Madang Comparative Wordlists,-4.67372,145.562
dabr,danaru,dnr,Nuclear Trans New Guinea,dabr,yam,Madang Comparative Wordlists,-5.53634,145.457
gou,danaru,dnr,Nuclear Trans New Guinea,gou,yam,Madang Comparative Wordlists,-5.53634,145.457
imba,faita,faj,Nuclear Trans New Guinea,imba,yam,Madang Comparative Wordlists,-5.59947,145.298
wem,faita,faj,Nuclear Trans New Guinea,wem,yam,Madang Comparative Wordlists,-5.59947,145.298
au,gal,gap,Nuclear Trans New Guinea,au,yam,Madang Comparative Wordlists,-5.16351,145.623
murak,gal,gap,Nuclear Trans New Guinea,murak,yam,Madang Comparative Wordlists,-5.16351,145.623
kung,ganglau,ggl,Nuclear Trans New Guinea,kuŋ,yam,Madang Comparative Wordlists,-5.57945,146.13
mleg,ganglau,ggl,Nuclear Trans New Guinea,mleg,yam,Madang Comparative Wordlists,-5.57945,146.13
davel,garus,gyb,Nuclear Trans New Guinea,davɛl,yam,Madang Comparative Wordlists,-4.9222,145.683
igon,garus,gyb,Nuclear Trans New Guinea,igon,yam,Madang Comparative Wordlists,-4.9222,145.683
dibil,gavak,,Nuclear Trans New Guinea,dibil,yam,Madang Comparative Wordlists,,
kia,gavak,,Nuclear Trans New Guinea,kia,yam,Madang Comparative Wordlists,,
bor,girawa,bbr,Nuclear Trans New Guinea,bɔːr,yam,Madang Comparative Wordlists,-5.35342,145.423
mura,girawa,bbr,Nuclear Trans New Guinea,mura,yam,Madang Comparative Wordlists,-5.35342,145.423
malk,gumalu,gmu,Nuclear Trans New Guinea,malʌk,yam,Madang Comparative Wordlists,-5.22189,145.618
o,gumalu,gmu,Nuclear Trans New Guinea,o,yam,Madang Comparative Wordlists,-5.22189,145.618
k,isabi,isa,Nuclear Trans New Guinea,kʌ,yam,Madang Comparative Wordlists,-5.83809,145.462
nmo,isabi,isa,Nuclear Trans New Guinea,nʌːmo,yam,Madang Comparative Wordlists,-5.83809,145.462
marg,isebe,igo,Nuclear Trans New Guinea,marʌg,yam,Madang Comparative Wordlists,-5.20719,145.691
o,isebe,igo,Nuclear Trans New Guinea,ʔo,yam,Madang Comparative Wordlists,-5.20719,145.691
alim,jilim,jil,Nuclear Trans New Guinea,alim,yam,Madang Comparative Wordlists,-5.56611,145.706
alim,jilim,jil,Nuclear Trans New Guinea,alim,yam,Madang Comparative Wordlists,-5.56611,145.706
kerru,kare,kbn,Nuclear Trans New Guinea,kɛrʌːru,yam,Madang Comparative Wordlists,7.05641,15.2207
mainda,kare,kbn,Nuclear Trans New Guinea,mainda,yam,Madang Comparative Wordlists,7.05641,15.2207
l,kein,bmh,Nuclear Trans New Guinea,ʌl,yam,Madang Comparative Wordlists,-5.3373,145.483
mer,kein,bmh,Nuclear Trans New Guinea,mɛr,yam,Madang Comparative Wordlists,-5.3373,145.483
nhe,kesawai,xes,Nuclear Trans New Guinea,nʌhe,yam,Madang Comparative Wordlists,-5.76797,145.58
ou,kesawai,xes,Nuclear Trans New Guinea,ou,yam,Madang Comparative Wordlists,-5.76797,145.58
mena,kobol,kgu,Nuclear Trans New Guinea,mɛna,yam,Madang Comparative Wordlists,-4.79614,145.284
soborom,kobol,kgu,Nuclear Trans New Guinea,sobor̃om,yam,Madang Comparative Wordlists,-4.79614,145.284
sosonga,korak,koz,Nuclear Trans New Guinea,sosoŋa,yam,Madang Comparative Wordlists,-4.5998,145.514
wl,korak,koz,Nuclear Trans New Guinea,wʌl,yam,Madang Comparative Wordlists,-4.5998,145.514
mreb,kowaki,xow,Nuclear Trans New Guinea,mʌrɛb,yam,Madang Comparative Wordlists,-4.63032,145.412
neizab,kowaki,xow,Nuclear Trans New Guinea,neizab,yam,Madang Comparative Wordlists,-4.63032,145.412
kou,lemio,lei,Nuclear Trans New Guinea,kou,yam,Madang Comparative Wordlists,-5.61407,146.441
kuep,lemio,lei,Nuclear Trans New Guinea,kuep,yam,Madang Comparative Wordlists,-5.61407,146.441
kayab,maia-pila,,Nuclear Trans New Guinea,kayab,yam,Madang Comparative Wordlists,,
wangay,maia-pila,,Nuclear Trans New Guinea,waŋay,yam,Madang Comparative Wordlists,,
r,mala,ped,Nuclear Trans New Guinea,ʌr̃ʌ,yam,Madang Comparative Wordlists,-4.35889,145.04
susogi,mala,ped,Nuclear Trans New Guinea,susogi,yam,Madang Comparative Wordlists,-4.35889,145.04
