CLICS Form,Variety,ISO CODE,Family,Form in source,Gloss in source,Dataset,latitude,longitude
,Warumungu,wrm,Pama-Nyungan,manaci,yam,Chirila,-20.6479,134.375
,Walmajarri,wmt,Pama-Nyungan,ciriʎpaca,yam,Chirila,-19.7229,126.113
,Ngaanyatjarra,ntj,Pama-Nyungan,puʎku,yam,Chirila,-25.7514,127.602
,Gamilaraay,kld,Pama-Nyungan,n̪aːl,yam,Chirila,-29.9037,149.543
,Yuwaalaraay,,Pama-Nyungan,kutukaː,yam,Chirila,,
,Anmatyerre,amx,Pama-Nyungan,anac,yam,Chirila,-22.2853,133.286
,Alyawarr,aly,Pama-Nyungan,anac,yam,Chirila,-21.0427,136.835
,Warumungu,wrm,Pama-Nyungan,manaci,yam,Chirila,-20.6479,134.375
,Walmajarri,wmt,Pama-Nyungan,ciriʎpaca,yam,Chirila,-19.7229,126.113
,Ngaanyatjarra,ntj,Pama-Nyungan,puʎku,yam,Chirila,-25.7514,127.602
,Gamilaraay,kld,Pama-Nyungan,n̪aːl,yam,Chirila,-29.9037,149.543
,Anmatyerre,amx,Pama-Nyungan,anek,yam,Chirila,-22.2853,133.286
,Alyawarr,aly,Pama-Nyungan,aɭacəj,yam,Chirila,-21.0427,136.835
,Warumungu,wrm,Pama-Nyungan,ŋarma,yam,Chirila,-20.6479,134.375
,Walmajarri,wmt,Pama-Nyungan,kaɳti,yam,Chirila,-19.7229,126.113
,Ngaanyatjarra,ntj,Pama-Nyungan,cirkaɭi,yam,Chirila,-25.7514,127.602
,Gamilaraay,kld,Pama-Nyungan,waraj,yam,Chirila,-29.9037,149.543
,Ngaanyatjarra,ntj,Pama-Nyungan,kuɳtili,yam,Chirila,-25.7514,127.602
,Ngaanyatjarra,ntj,Pama-Nyungan,paʎamunuriŋku,yam,Chirila,-25.7514,127.602
,Ngaanyatjarra,ntj,Pama-Nyungan,wiŋaɳjiri,yam,Chirila,-25.7514,127.602
,Ngaanyatjarra,ntj,Pama-Nyungan,waʎkumunu,yam,Chirila,-25.7514,127.602
,Yuwaaliyaay,,Pama-Nyungan,kukumat̪araː,yam,Chirila,,
,Mithaka,,Pama-Nyungan,muciɹi,yam,Chirila,,
,Kuuk Thaayorre,,Pama-Nyungan,wanc,yam,Chirila,,
,Yirrk-Thangalkl,,Pama-Nyungan,waɲcəpə,yam,Chirila,,
,Koko-Bera,,Pama-Nyungan,waɲcəpəŋ,yam,Chirila,,
,Yir-Yoront,,Pama-Nyungan,waɲcəw,yam,Chirila,,
,Bardi,bcj,Nyulnyulan,aːɲcu,yam,Chirila,-16.6274,122.906
,Yanyuwa,jao,Pama-Nyungan,waɲcija,yam,Chirila,-15.7621,136.055
,Proto-WesternCYP,,Pama-Nyungan,waɲcV,yam,Chirila,,
,Kalkatungu,,Pama-Nyungan,ŋkaː,yam,Chirila,,
,Yalarnnga,ylr,Pama-Nyungan,jaŋkata,yam,Chirila,-21.731,139.511
,Warluwarra,,Pama-Nyungan,ŋuɳma,yam,Chirila,,
,Nhirrpi,hrp,Pama-Nyungan,kadɹa,yam,Chirila,,
,Malyangapa,yga,Pama-Nyungan,ŋampiɾu,yam,Chirila,,
,Kalkatungu,,Pama-Nyungan,makura,yam,Chirila,,
,Kalkatungu,,Pama-Nyungan,ŋat̪a,yam,Chirila,,
,Kalkatungu,,Pama-Nyungan,ŋkaː,yam,Chirila,,
,Yalarnnga,ylr,Pama-Nyungan,ŋkaː,yam,Chirila,-21.731,139.511
,Yalarnnga,ylr,Pama-Nyungan,ŋkara,yam,Chirila,-21.731,139.511
,Yalarnnga,ylr,Pama-Nyungan,jaŋkata,yam,Chirila,-21.731,139.511
,Kungardutyi,gdt,Pama-Nyungan,n̪undri,yam,Chirila,,
,Pitta-Pitta,,Pama-Nyungan,t̪intama,yam,Chirila,,
,Pirriya,xpa,Pama-Nyungan,macadi,yam,Chirila,,
,Kungkari,lku,Pama-Nyungan,macipiRi,yam,Chirila,,
,Malyangapa,yga,Pama-Nyungan,n̪ant̪uru,yam,Chirila,,
,Yandruwandha,ynd,Pama-Nyungan,kaɖɹa,yam,Chirila,-28.4744,140.583
,Yandruwandha,ynd,Pama-Nyungan,t̪imbilci,yam,Chirila,-28.4744,140.583
,Wangkumara,xwk,Pama-Nyungan,d̪awu,yam,Chirila,,
,Wangkumara,xwk,Pama-Nyungan,n̪undɹi,yam,Chirila,,
,Wangkayutyuru,wky,Pama-Nyungan,pitapadi,yam,Chirila,,
,Wangkayutyuru,wky,Pama-Nyungan,t̪int̪ama,yam,Chirila,,
,Wadjalang,,Pama-Nyungan,gua,yam,Chirila,,
,Kungkari,lku,Pama-Nyungan,uwa,yam,Chirila,,
,Pirriya,xpa,Pama-Nyungan,wagila,yam,Chirila,,
,Wadjabangayi,wdy,Pama-Nyungan,kawu,yam,Chirila,,
,Yorta Yorta,xyy,Pama-Nyungan,majila,yam,Chirila,-35.9,145.01
,Mithaka,,Pama-Nyungan,muciɹi,yam,Chirila,,
,Punthamara,xpt,Pama-Nyungan,nundɹi,yam,Chirila,,
,WTSWestern TorresMabuiag,,Pama-NyunganPama-NyunganPama-Nyungan,boa,yam,Chirila,,
,Wangkumara,xwk,Pama-Nyungan,nundɹi,yam,Chirila,,
,Ngamini,nmv,Pama-Nyungan,mucaɾi,yam,Chirila,-27.1797,138.701
,Dharawala,,Pama-Nyungan,kuwa,yam,Chirila,,
,Wadjabangayi,wdy,Pama-Nyungan,kawu,yam,Chirila,,
,WTSWestern TorresMabuiag,,Pama-NyunganPama-NyunganPama-Nyungan,ketai,yam,Chirila,,
,WTSWestern TorresMabuiag,,Pama-NyunganPama-NyunganPama-Nyungan,bud,yam,Chirila,,
,WTSWestern TorresMabuiag,,Pama-NyunganPama-NyunganPama-Nyungan,deabu,yam,Chirila,,
,WTSWestern TorresMabuiag,,Pama-NyunganPama-NyunganPama-Nyungan,naguai,yam,Chirila,,
,WTSWestern TorresMabuiag,,Pama-NyunganPama-NyunganPama-Nyungan,nagu-utui,yam,Chirila,,
,Karajarri,,Pama-Nyungan,pilicinataɲ,yam,Chirila,,
,Karajarri,,Pama-Nyungan,pilicunataɲ,yam,Chirila,,
,Walmajarri,wmt,Pama-Nyungan,kanti,yam,Chirila,-19.7229,126.113
,Gupapuyngu,guf,Pama-Nyungan,man̪muŋa,yam,Chirila,-12.2868,135.337
,Gupapuyngu,guf,Pama-Nyungan,ɟitama,yam,Chirila,-12.2868,135.337
,unknown[imported from language list; to check],,Pama-Nyungan,ɟitama,yam,Chirila,,
,Gumatj,gnn,Pama-Nyungan,band̪amara,yam,Chirila,-12.2525,136.83
,Gumatj,gnn,Pama-Nyungan,baːrwic,yam,Chirila,-12.2525,136.83
,Ritharrngu,,Pama-Nyungan,mawunuʔ,yam,Chirila,,
,Ritharrngu,,Pama-Nyungan,mabaɭpi,yam,Chirila,,
,Ritharrngu,,Pama-Nyungan,ɟiriʔ,yam,Chirila,,
,Gupapuyngu,guf,Pama-Nyungan,ɟitama,yam,Chirila,-12.2868,135.337
,Gumatj,gnn,Pama-Nyungan,ɟitama,yam,Chirila,-12.2525,136.83
,Gumatj,gnn,Pama-Nyungan,d̪aŋunija,yam,Chirila,-12.2525,136.83
,Gupapuyngu,guf,Pama-Nyungan,ɟitama,yam,Chirila,-12.2868,135.337
,Gupapuyngu,guf,Pama-Nyungan,man̪muŋa,yam,Chirila,-12.2868,135.337
,Dhuwal,duj,Pama-Nyungan,maɳmunda,yam,Chirila,-12.7825,136.008
,Dhuwal,duj,Pama-Nyungan,gawat̪a,yam,Chirila,-12.7825,136.008
,Dhuwal,duj,Pama-Nyungan,ɟitama,yam,Chirila,-12.7825,136.008
,Yan-nhangu,jay,Pama-Nyungan,ban&apos;kaɹiɲa,yam,Chirila,-12.0853,134.877
,Yan-nhangu,jay,Pama-Nyungan,baːwaŋ,yam,Chirila,-12.0853,134.877
,Yan-nhangu,jay,Pama-Nyungan,ɖujŋa,yam,Chirila,-12.0853,134.877
,Yan-nhangu,jay,Pama-Nyungan,d̪aŋunija,yam,Chirila,-12.0853,134.877
,Yan-nhangu,jay,Pama-Nyungan,ɟalpiŋu,yam,Chirila,-12.0853,134.877
,Yan-nhangu,jay,Pama-Nyungan,ɟitama,yam,Chirila,-12.0853,134.877
,Yan-nhangu,jay,Pama-Nyungan,gaɳaj,yam,Chirila,-12.0853,134.877
,Yan-nhangu,jay,Pama-Nyungan,gajam&apos;pur,yam,Chirila,-12.0853,134.877
,Yan-nhangu,jay,Pama-Nyungan,muːgina,yam,Chirila,-12.0853,134.877
,Yan-nhangu,jay,Pama-Nyungan,ɹiːcabu,yam,Chirila,-12.0853,134.877
,Yan-nhangu,jay,Pama-Nyungan,ɹical,yam,Chirila,-12.0853,134.877
,Burarra,bvr,Maningrida,gurŋa,yam,Chirila,-12.3061,134.365
,Burarra,bvr,Maningrida,maɖapanda,yam,Chirila,-12.3061,134.365
,Burarra,bvr,Maningrida,manakaŋala,yam,Chirila,-12.3061,134.365
,Burarra,bvr,Maningrida,ɟajpuɭga,yam,Chirila,-12.3061,134.365
,Burarra,bvr,Maningrida,gulpuɹa,yam,Chirila,-12.3061,134.365
,Burarra,bvr,Maningrida,marbanda,yam,Chirila,-12.3061,134.365
,Burarra,bvr,Maningrida,mun-gara,yam,Chirila,-12.3061,134.365
,Burarra,bvr,Maningrida,ŋukubuɹa,yam,Chirila,-12.3061,134.365
,Burarra,bvr,Maningrida,waʈpiɹʈja,yam,Chirila,-12.3061,134.365
,Burarra,bvr,Maningrida,-nawuɹaŋga,yam,Chirila,-12.3061,134.365
,Yan-nhangu,jay,Pama-Nyungan,gaŋuri,yam,Chirila,-12.0853,134.877
,Yan-nhangu,jay,Pama-Nyungan,manmuŋa,yam,Chirila,-12.0853,134.877
,Yan-nhangu,jay,Pama-Nyungan,jikiwit,yam,Chirila,-12.0853,134.877
,Western Arrarnte,,Pama-Nyungan,laceje,yam,Chirila,,
,Western Arrarnte,,Pama-Nyungan,nace,yam,Chirila,,
,Western Arrarnte,,Pama-Nyungan,jaɭe,yam,Chirila,,
,Warlpiri,wbp,Pama-Nyungan,jaɭa,yam,Chirila,-20.1008,131.05
,Warlpiri,wbp,Pama-Nyungan,puʈa,yam,Chirila,-20.1008,131.05
,Ngarluma,nrl,Pama-Nyungan,maʈira,yam,Chirila,-20.9235,117.203
,Kariyarra,vka,Pama-Nyungan,maʈira,yam,Chirila,-20.445,118.613
,Kariyarra,vka,Pama-Nyungan,maʈa,yam,Chirila,-20.445,118.613
,Badjiri,jbi,Pama-Nyungan,nant̪uɹu,yam,Chirila,,
,Nyangumarta,nna,Pama-Nyungan,mata,yam,Chirila,-20.6271,121.391
,Djinang,dji,Pama-Nyungan,burŋunɖa,yam,Chirila,-12.462,134.82
,Bularnu,,Pama-Nyungan,ŋuɳma,yam,Chirila,,
,Bularnu,,Pama-Nyungan,cikaɲi,yam,Chirila,,
,Antekerrepenh,,Pama-Nyungan,ɭacej,yam,Chirila,,
,Alyawarr,aly,Pama-Nyungan,anaic,yam,Chirila,-21.0427,136.835
,Warlmanpa,wrl,Pama-Nyungan,papiʈa,yam,Chirila,-18.949,133.862
,Gurindji,,Pama-Nyungan,kamaɹa,yam,Chirila,,
,Malngin,,Pama-Nyungan,piːkuʈa,yam,Chirila,,
,Wakaya,,Pama-Nyungan,parɹula,yam,Chirila,,
,Walmajarri,wmt,Pama-Nyungan,kaɳti,yam,Chirila,-19.7229,126.113
,Gunggari,,Pama-Nyungan,kuar,yam,Chirila,,
,Kukatj,,Pama-Nyungan,puːketeŋ,yam,Chirila,,
,Wakaya,,Pama-Nyungan,kilewulu,yam,Chirila,,
,Wakaya,,Pama-Nyungan,cikʔa,yam,Chirila,,
,Wakaya,,Pama-Nyungan,parula,yam,Chirila,,
,Yinhawangka,ywg,Pama-Nyungan,cita,yam,Chirila,,
,Woiwurrung,wyi,Pama-Nyungan,parm,yam,Chirila,,
,Woiwurrung,wyi,Pama-Nyungan,muwijul,yam,Chirila,,
,Dharuk,xdk,Pama-Nyungan,mitiɲ,yam,Chirila,,
,Dharumbal,,Pama-Nyungan,piŋi,yam,Chirila,,
,Garrwa,wrk,Garrwan,tuʈulaɲi,yam,Chirila,-17.4504,137.72014
,Coobenpil,,Pama-Nyungan,tambɹin,yam,Chirila,,
,Garrwa,wrk,Garrwan,cuwajuwa,yam,Chirila,-17.4504,137.72014
,Garrwa,wrk,Garrwan,kapala,yam,Chirila,-17.4504,137.72014
,Garrwa,wrk,Garrwan,waɳmir,yam,Chirila,-17.4504,137.72014
,Garrwa,wrk,Garrwan,walapu,yam,Chirila,-17.4504,137.72014
,Garrwa,wrk,Garrwan,jilipuɹu,yam,Chirila,-17.4504,137.72014
,Garrwa,wrk,Garrwan,ŋanaku,yam,Chirila,-17.4504,137.72014
,Mudburra,dmw,Pama-Nyungan,kamaɹa,yam,Chirila,,
,Mudburra,dmw,Pama-Nyungan,kawucin,yam,Chirila,,
,Mudburra,dmw,Pama-Nyungan,mu(ɹ)ntu(a)paɭi,yam,Chirila,,
,Garlali,gll,Pama-Nyungan,kabari,yam,Chirila,,
,Yugambeh,,Pama-Nyungan,dum,yam,Chirila,,
,Nukunu,,Pama-Nyungan,jampa,yam,Chirila,,
,Proto-Pama-Nyungan,,Pama-Nyungan,kAlmpa,yam,Chirila,,
,Warungu,wrg,Pama-Nyungan,kuɲaŋara,yam,Chirila,-18.2496,144.37
,Biri,bzr,Pama-Nyungan,munila,yam,Chirila,-20.1494,146.67
,Gangulu,gnl,Pama-Nyungan,kuwa,yam,Chirila,-22.7637,149.416
,Biri,bzr,Pama-Nyungan,kuwa,yam,Chirila,-20.1494,146.67
,Ngarrindjeri,,Pama-Nyungan,wiloki,yam,Chirila,,
,Ngarrindjeri,,Pama-Nyungan,wiloki,yam,Chirila,,
,Ngarrindjeri,,Pama-Nyungan,kandja,yam,Chirila,,
,Ngarrindjeri,,Pama-Nyungan,kandjeɹan,yam,Chirila,,
,Ngarrindjeri,,Pama-Nyungan,kandjeɹuŋa,yam,Chirila,,
,Ngarrindjeri,,Pama-Nyungan,kanca,yam,Chirila,,
,Ngarrindjeri,,Pama-Nyungan,kanceɹi,yam,Chirila,,
,Ngarrindjeri,,Pama-Nyungan,koncaɹa,yam,Chirila,,
,Darkinyung,xda,Pama-Nyungan,wajaŋ,yam,Chirila,,
,Jaru,ddj,Pama-Nyungan,cuwantara ɲinawucuwa,yam,Chirila,-18.3288,128.262
,Jaru,ddj,Pama-Nyungan,mulaɲ,yam,Chirila,-18.3288,128.262
,Jaru,ddj,Pama-Nyungan,pawuwuʈa,yam,Chirila,-18.3288,128.262
,Gurindji,,Pama-Nyungan,kamaɹa,yam,Chirila,,
,Gurindji,,Pama-Nyungan,kuɹuɭ,yam,Chirila,,
,Gurindji,,Pama-Nyungan,waɲca,yam,Chirila,,
,Gurindji,,Pama-Nyungan,wiɳcirki,yam,Chirila,,
,Mudburra,dmw,Pama-Nyungan,papiʈa,yam,Chirila,,
,Mudburra,dmw,Pama-Nyungan,cikarampini,yam,Chirila,,
,Mudburra,dmw,Pama-Nyungan,waɳmiri,yam,Chirila,,
,Mudburra,dmw,Pama-Nyungan,wajita,yam,Chirila,,
,Warlpiri,wbp,Pama-Nyungan,kacutaɹi,yam,Chirila,-20.1008,131.05
,Warlpiri,wbp,Pama-Nyungan,kucuɳtu,yam,Chirila,-20.1008,131.05
,Warlpiri,wbp,Pama-Nyungan,ŋamaɹi,yam,Chirila,-20.1008,131.05
,Warlpiri,wbp,Pama-Nyungan,ŋamaɳa,yam,Chirila,-20.1008,131.05
,Warlpiri,wbp,Pama-Nyungan,wuncu,yam,Chirila,-20.1008,131.05
,Warlpiri,wbp,Pama-Nyungan,jincaʎkiɲi,yam,Chirila,-20.1008,131.05
,Turubul,,Pama-Nyungan,tam,yam,Chirila,,
,Turubul,,Pama-Nyungan,mutaɹa,yam,Chirila,,
,Marra,,Arnhem,jeki,yam,Chirila,,
,Anmatyerre,amx,Pama-Nyungan,anac,yam,Chirila,-22.2853,133.286
,Alyawarr,aly,Pama-Nyungan,anac,yam,Chirila,-21.0427,136.835
,Western Arrarnte,,Pama-Nyungan,lacia,yam,Chirila,,
,Warumungu,wrm,Pama-Nyungan,manaci,yam,Chirila,-20.6479,134.375
,Walmajarri,wmt,Pama-Nyungan,ciriʎpaca,yam,Chirila,-19.7229,126.113
,Ngaanyatjarra,ntj,Pama-Nyungan,puʎku,yam,Chirila,-25.7514,127.602
,Gamilaraay,kld,Pama-Nyungan,n̪aːl,yam,Chirila,-29.9037,149.543
,Yuwaalaraay,,Pama-Nyungan,kutukaː,yam,Chirila,,
,Anmatyerre,amx,Pama-Nyungan,anac,yam,Chirila,-22.2853,133.286
,Alyawarr,aly,Pama-Nyungan,anac,yam,Chirila,-21.0427,136.835
,Warumungu,wrm,Pama-Nyungan,manaci,yam,Chirila,-20.6479,134.375
,Walmajarri,wmt,Pama-Nyungan,ciriʎpaca,yam,Chirila,-19.7229,126.113
,Ngaanyatjarra,ntj,Pama-Nyungan,puʎku,yam,Chirila,-25.7514,127.602
,Gamilaraay,kld,Pama-Nyungan,n̪aːl,yam,Chirila,-29.9037,149.543
,Anmatyerre,amx,Pama-Nyungan,anek,yam,Chirila,-22.2853,133.286
,Alyawarr,aly,Pama-Nyungan,aɭacəj,yam,Chirila,-21.0427,136.835
,Warumungu,wrm,Pama-Nyungan,ŋarma,yam,Chirila,-20.6479,134.375
,Walmajarri,wmt,Pama-Nyungan,kaɳti,yam,Chirila,-19.7229,126.113
,Ngaanyatjarra,ntj,Pama-Nyungan,cirkaɭi,yam,Chirila,-25.7514,127.602
,Gamilaraay,kld,Pama-Nyungan,waraj,yam,Chirila,-29.9037,149.543
,Ngaanyatjarra,ntj,Pama-Nyungan,kuɳtili,yam,Chirila,-25.7514,127.602
,Ngaanyatjarra,ntj,Pama-Nyungan,paʎamunuriŋku,yam,Chirila,-25.7514,127.602
,Ngaanyatjarra,ntj,Pama-Nyungan,wiŋaɳjiri,yam,Chirila,-25.7514,127.602
,Ngaanyatjarra,ntj,Pama-Nyungan,waʎkumunu,yam,Chirila,-25.7514,127.602
,Yuwaaliyaay,,Pama-Nyungan,kukumat̪araː,yam,Chirila,,
,Mithaka,,Pama-Nyungan,muciɹi,yam,Chirila,,
,Kuuk Thaayorre,,Pama-Nyungan,wanc,yam,Chirila,,
,Yirrk-Thangalkl,,Pama-Nyungan,waɲcəpə,yam,Chirila,,
,Koko-Bera,,Pama-Nyungan,waɲcəpəŋ,yam,Chirila,,
,Yir-Yoront,,Pama-Nyungan,waɲcəw,yam,Chirila,,
,Bardi,bcj,Nyulnyulan,aːɲcu,yam,Chirila,-16.6274,122.906
,Yanyuwa,jao,Pama-Nyungan,waɲcija,yam,Chirila,-15.7621,136.055
,Proto-WesternCYP,,Pama-Nyungan,waɲcV,yam,Chirila,,
