CLICS Form,Variety,ISO CODE,Family,Form in source,Gloss in source,Dataset,latitude,longitude,Number
gou,danaru,dnr,Nuclear Trans New Guinea,gou,yam,Madang Comparative Wordlists,-5.53634,145.457,0.404811148669681
imba,faita,faj,Nuclear Trans New Guinea,imba,yam,Madang Comparative Wordlists,-5.59947,145.298,0.669464162012741
wem,faita,faj,Nuclear Trans New Guinea,wem,yam,Madang Comparative Wordlists,-5.59947,145.298,0.752767923619078
au,gal,gap,Nuclear Trans New Guinea,au,yam,Madang Comparative Wordlists,-5.16351,145.623,0.669775074948619
murak,gal,gap,Nuclear Trans New Guinea,murak,yam,Madang Comparative Wordlists,-5.16351,145.623,0.778871984429316
kung,ganglau,ggl,Nuclear Trans New Guinea,kuŋ,yam,Madang Comparative Wordlists,-5.57945,146.13,0.960546286347661
mleg,ganglau,ggl,Nuclear Trans New Guinea,mleg,yam,Madang Comparative Wordlists,-5.57945,146.13,0.146084105499651
davel,garus,gyb,Nuclear Trans New Guinea,davɛl,yam,Madang Comparative Wordlists,-4.9222,145.683,0.550128522214655
igon,garus,gyb,Nuclear Trans New Guinea,igon,yam,Madang Comparative Wordlists,-4.9222,145.683,0.261175462487931
dibil,gavak,,Nuclear Trans New Guinea,dibil,yam,Madang Comparative Wordlists,,,0.10163081917914
kia,gavak,,Nuclear Trans New Guinea,kia,yam,Madang Comparative Wordlists,,,0.71135957545771
bor,girawa,bbr,Nuclear Trans New Guinea,bɔːr,yam,Madang Comparative Wordlists,-5.35342,145.423,0.553558238201407
mura,girawa,bbr,Nuclear Trans New Guinea,mura,yam,Madang Comparative Wordlists,-5.35342,145.423,0.0218444655328301
malk,gumalu,gmu,Nuclear Trans New Guinea,malʌk,yam,Madang Comparative Wordlists,-5.22189,145.618,0.0546426819654366
o,gumalu,gmu,Nuclear Trans New Guinea,o,yam,Madang Comparative Wordlists,-5.22189,145.618,0.107489250532114
k,isabi,isa,Nuclear Trans New Guinea,kʌ,yam,Madang Comparative Wordlists,-5.83809,145.462,0.499485357525322
nmo,isabi,isa,Nuclear Trans New Guinea,nʌːmo,yam,Madang Comparative Wordlists,-5.83809,145.462,0.576564307668448
marg,isebe,igo,Nuclear Trans New Guinea,marʌg,yam,Madang Comparative Wordlists,-5.20719,145.691,0.284855913772433
o,isebe,igo,Nuclear Trans New Guinea,ʔo,yam,Madang Comparative Wordlists,-5.20719,145.691,0.826750410644313
alim,jilim,jil,Nuclear Trans New Guinea,alim,yam,Madang Comparative Wordlists,-5.56611,145.706,0.282881229896538
alim,jilim,jil,Nuclear Trans New Guinea,alim,yam,Madang Comparative Wordlists,-5.56611,145.706,0.614740978211123
kerru,kare,kbn,Nuclear Trans New Guinea,kɛrʌːru,yam,Madang Comparative Wordlists,7.05641,15.2207,0.122367881324039
mainda,kare,kbn,Nuclear Trans New Guinea,mainda,yam,Madang Comparative Wordlists,7.05641,15.2207,0.296303890299931
l,kein,bmh,Nuclear Trans New Guinea,ʌl,yam,Madang Comparative Wordlists,-5.3373,145.483,0.910847283125436
mer,kein,bmh,Nuclear Trans New Guinea,mɛr,yam,Madang Comparative Wordlists,-5.3373,145.483,0.00940274458867212
nhe,kesawai,xes,Nuclear Trans New Guinea,nʌhe,yam,Madang Comparative Wordlists,-5.76797,145.58,0.108793753692748
ou,kesawai,xes,Nuclear Trans New Guinea,ou,yam,Madang Comparative Wordlists,-5.76797,145.58,0.0511766061184217
mena,kobol,kgu,Nuclear Trans New Guinea,mɛna,yam,Madang Comparative Wordlists,-4.79614,145.284,0.306331398600826
soborom,kobol,kgu,Nuclear Trans New Guinea,sobor̃om,yam,Madang Comparative Wordlists,-4.79614,145.284,0.472863276993617
sosonga,korak,koz,Nuclear Trans New Guinea,sosoŋa,yam,Madang Comparative Wordlists,-4.5998,145.514,0.115350089908604
wl,korak,koz,Nuclear Trans New Guinea,wʌl,yam,Madang Comparative Wordlists,-4.5998,145.514,0.595780712259425
mreb,kowaki,xow,Nuclear Trans New Guinea,mʌrɛb,yam,Madang Comparative Wordlists,-4.63032,145.412,0.937754206269284
neizab,kowaki,xow,Nuclear Trans New Guinea,neizab,yam,Madang Comparative Wordlists,-4.63032,145.412,0.764072098848754
kou,lemio,lei,Nuclear Trans New Guinea,kou,yam,Madang Comparative Wordlists,-5.61407,146.441,0.405949956839336
kuep,lemio,lei,Nuclear Trans New Guinea,kuep,yam,Madang Comparative Wordlists,-5.61407,146.441,0.787887300009478
kayab,maia-pila,,Nuclear Trans New Guinea,kayab,yam,Madang Comparative Wordlists,,,0.823814811963183
wangay,maia-pila,,Nuclear Trans New Guinea,waŋay,yam,Madang Comparative Wordlists,,,0.339304708368457
r,mala,ped,Nuclear Trans New Guinea,ʌr̃ʌ,yam,Madang Comparative Wordlists,-4.35889,145.04,0.91355985487169
susogi,mala,ped,Nuclear Trans New Guinea,susogi,yam,Madang Comparative Wordlists,-4.35889,145.04,0.782932794920999
kibinem,malas,mkr,Nuclear Trans New Guinea,kibinɛm,yam,Madang Comparative Wordlists,-4.76685,145.621,0.435583068714691
yinyim,malas,mkr,Nuclear Trans New Guinea,yinyim,yam,Madang Comparative Wordlists,-4.76685,145.621,0.331732305570406
alam,male,mdc,Nuclear Trans New Guinea,alam,yam,Madang Comparative Wordlists,-5.49975,145.757,0.0924738269689522
sambi,male,mdc,Nuclear Trans New Guinea,sambi,yam,Madang Comparative Wordlists,-5.49975,145.757,0.0902819021705349
murg,matepi,mqe,Nuclear Trans New Guinea,mur̃ʌːg,yam,Madang Comparative Wordlists,-5.13857,145.617,0.709453000245431
o,matepi,mqe,Nuclear Trans New Guinea,Ø,yam,Madang Comparative Wordlists,-5.13857,145.617,0.912319831172263
ibok,mauwake,mhl,Nuclear Trans New Guinea,ibokʌ,yam,Madang Comparative Wordlists,-4.52416,145.394,0.215122417505609
oloba,mauwake,mhl,Nuclear Trans New Guinea,oloba,yam,Madang Comparative Wordlists,-4.52416,145.394,0.550268363739784
mareb,mawak,mjj,Nuclear Trans New Guinea,mareb,yam,Madang Comparative Wordlists,-4.61817,145.283,0.721328364601522
sab,mawak,mjj,Nuclear Trans New Guinea,sab,yam,Madang Comparative Wordlists,-4.61817,145.283,0.636970044237135
murak,mawan,mcz,Nuclear Trans New Guinea,murak,yam,Madang Comparative Wordlists,-5.2219,145.589,0.767345082629561
o,mawan,mcz,Nuclear Trans New Guinea,Ø:,yam,Madang Comparative Wordlists,-5.2219,145.589,0.439167358799803
ayab,miani,pla,Nuclear Trans New Guinea,ayab,yam,Madang Comparative Wordlists,-4.42116,145.276,0.674134341001523
wanaz,miani,pla,Nuclear Trans New Guinea,wanaz,yam,Madang Comparative Wordlists,-4.42116,145.276,0.203024661807342
beb,migum,klm,Nuclear Trans New Guinea,beb,yam,Madang Comparative Wordlists,-5.57832,146.212,0.261325224003729
nai,migum,klm,Nuclear Trans New Guinea,ñai,yam,Madang Comparative Wordlists,-5.57832,146.212,0.111892414818329
isieb,moere,mvq,Nuclear Trans New Guinea,isieb,yam,Madang Comparative Wordlists,-4.62246,145.458,0.214199137940164
kinin,moere,mvq,Nuclear Trans New Guinea,kinin,yam,Madang Comparative Wordlists,-4.62246,145.458,0.290666075381125
momok,moresada,msx,Nuclear Trans New Guinea,mɔmɔk,yam,Madang Comparative Wordlists,-4.57497,144.988,0.145857218228177
yambb,moresada,msx,Nuclear Trans New Guinea,yambʌb,yam,Madang Comparative Wordlists,-4.57497,144.988,0.208232263764269
